algorithm,rouge-1,rouge-2,rouge-l,bleu,avg_length,inference_time
baseline,0.03034892904829683,0.0,0.03034892904829683,6.021797048127599e-232,37.7,118.81270098686218
proposal,0.04727933681225828,0.0,0.04727933681225828,7.533802786679777e-232,87.2,127.47797846794128
